session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,list3,1,Zweig_gruen,Zweig,gruen,65,HFP,SN,cblock,nature,Zweig_gruen,zweig_gruen.png
Pretrain,list3,2,Frau_rot,Frau,rot,23,LFP,SN,cblock,human,Frau_rot,frau_rot.png
Pretrain,list3,3,Ei_weiss,Ei,weiss,16,HFP,SP,cblock,food,Ei_weiss,ei_weiss.png
Pretrain,list3,4,Dach_weiss,Dach,weiss,15,LFP,SN,cblock,building,Dach_weiss,dach_weiss.png
Pretrain,list3,5,Wolke_schwarz,Wolke,schwarz,60,HFP,SN,cblock,nature,Wolke_schwarz,wolke_schwarz.png
Pretrain,list3,6,Schuh_weiss,Schuh,weiss,50,LFP,SP,cblock,clothing,Schuh_weiss,schuh_weiss.png
Pretrain,list3,7,Mann_weiss,Mann,weiss,38,HFP,SN,cblock,human,Mann_weiss,mann_weiss.png
Pretrain,list3,8,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
Pretrain,list3,9,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
Pretrain,list3,10,Baum_schwarz,Baum,schwarz,3,LFP,SN,cblock,nature,Baum_schwarz,baum_schwarz.png
Pretrain,list3,11,Ball_rot,Ball,rot,2,HFP,SP,cblock,tool,Ball_rot,ball_rot.png
Pretrain,list3,12,Erde_rot,Erde,rot,17,HFP,SN,cblock,nature,Erde_rot,erde_rot.png
Pretrain,list3,13,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_gruen,bild_gruen.png
Pretrain,list3,14,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
Pretrain,list3,15,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
Pretrain,list3,16,Blume_rot,Blume,rot,7,HFP,SN,cblock,nature,Blume_rot,blume_rot.png
Pretrain,list3,17,Lampe_rot,Lampe,rot,37,HFP,SP,cblock,furniture,Lampe_rot,lampe_rot.png
Pretrain,list3,18,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_rot,glas_rot.png
Pretrain,list3,19,Buch_gruen,Buch,gruen,12,LFP,SP,cblock,etc,Buch_gruen,buch_gruen.png
Pretrain,list3,20,Rose_weiss,Rose,weiss,48,HFP,SN,cblock,nature,Rose_weiss,rose_weiss.png
Pretrain,list3,21,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
Pretrain,list3,22,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,cblock,nature,Pflanze_gruen,pflanze_gruen.png
Pretrain,list3,23,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
Pretrain,list3,24,Blatt_schwarz,Blatt,schwarz,6,LFP,SP,cblock,nature,Blatt_schwarz,blatt_schwarz.png
Pretrain,list3,25,Tuer_schwarz,Tuer,schwarz,57,LFP,SN,cblock,building,Tuer_schwarz,tuer_schwarz.png
Pretrain,list3,26,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
Pretrain,list3,27,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
