session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list3,33,Apfel_neu,Apfel,neu,1,LFP,SP,ncblock,food,Apfel_neu,apfel_neu.png
train3,list3,34,Baum_schwarz,Baum,schwarz,3,LFP,SN,ncblock,nature,Baum_neu,baum_neu.png
train3,list3,35,Bett_gross,Bett,gross,4,HFP,SP,ncblock,furniture,Bett_gross,bett_gross.png
train3,list3,36,Bild_gruen,Bild,gruen,5,LFP,SN,ncblock,furniture,Bild_gross,bild_gross.png
train3,list3,37,Blume_rot,Blume,rot,7,HFP,SN,ncblock,nature,Blume_klein,blume_klein.png
train3,list3,38,Brille_klein,Brille,klein,10,LFP,SP,ncblock,etc,Brille_klein,brille_klein.png
train3,list3,39,Brot_neu,Brot,neu,11,LFP,SP,ncblock,food,Brot_neu,brot_neu.png
train3,list3,40,Burg_alt,Burg,alt,13,HFP,SP,ncblock,building,Burg_alt,burg_alt.png
train3,list3,41,Bus_neu,Bus,neu,14,HFP,SP,ncblock,transportation,Bus_neu,bus_neu.png
train3,list3,42,Dach_weiss,Dach,weiss,15,LFP,SN,ncblock,building,Dach_gross,dach_gross.png
train3,list3,43,Erde_rot,Erde,rot,17,HFP,SN,ncblock,nature,Erde_neu,erde_neu.png
train3,list3,44,Fabrik_gross,Fabrik,gross,18,HFP,SP,ncblock,building,Fabrik_gross,fabrik_gross.png
train3,list3,45,Flagge_alt,Flagge,alt,21,LFP,SP,ncblock,etc,Flagge_alt,flagge_alt.png
train3,list3,46,Flugzeug_neu,Flugzeug,neu,22,HFP,SP,ncblock,transportation,Flugzeug_neu,flugzeug_neu.png
train3,list3,47,Frau_rot,Frau,rot,23,LFP,SN,ncblock,human,Frau_gross,frau_gross.png
train3,list3,48,Glas_rot,Glas,rot,25,LFP,SN,ncblock,tool,Glas_klein,glas_klein.png
train3,list3,49,Herd_alt,Herd,alt,28,LFP,SP,ncblock,tool,Herd_alt,herd_alt.png
train3,list3,50,Hose_klein,Hose,klein,29,LFP,SP,ncblock,clothing,Hose_klein,hose_klein.png
train3,list3,51,Hut_klein,Hut,klein,30,LFP,SP,ncblock,clothing,Hut_klein,hut_klein.png
train3,list3,52,Kaffee_neu,Kaffee,neu,31,LFP,SN,ncblock,food,Kaffee_klein,kaffee_klein.png
train3,list3,53,Kamera_neu,Kamera,neu,32,HFP,SN,ncblock,tool,Kamera_alt,kamera_alt.png
train3,list3,54,Krone_neu,Krone,neu,36,HFP,SP,ncblock,etc,Krone_neu,krone_neu.png
train3,list3,55,Mann_weiss,Mann,weiss,38,HFP,SN,ncblock,human,Mann_gross,mann_gross.png
train3,list3,56,Mantel_alt,Mantel,alt,39,LFP,SP,ncblock,clothing,Mantel_alt,mantel_alt.png
train3,list3,57,Nest_klein,Nest,klein,41,HFP,SP,ncblock,building,Nest_klein,nest_klein.png
train3,list3,58,Palast_neu,Palast,neu,43,LFP,SN,ncblock,building,Palast_klein,palast_klein.png
train3,list3,59,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,ncblock,nature,Pflanze_neu,pflanze_neu.png
train3,list3,60,Rose_weiss,Rose,weiss,48,HFP,SN,ncblock,nature,Rose_gross,rose_gross.png
train3,list3,61,Tisch_alt,Tisch,alt,54,LFP,SP,ncblock,furniture,Tisch_alt,tisch_alt.png
train3,list3,62,Topf_gross,Topf,gross,56,HFP,SP,ncblock,tool,Topf_gross,topf_gross.png
train3,list3,63,Uhr_gross,Uhr,gross,59,HFP,SP,ncblock,tool,Uhr_gross,uhr_gross.png
train3,list3,64,Wueste_gross,Wueste,gross,61,HFP,SN,ncblock,nature,Wueste_neu,wueste_neu.png
train3,list3,65,Zeitung_alt,Zeitung,alt,62,HFP,SP,ncblock,etc,Zeitung_alt,zeitung_alt.png
train3,list3,66,Zweig_gruen,Zweig,gruen,65,HFP,SN,ncblock,nature,Zweig_neu,zweig_neu.png
